,alias,cats
0,monkeypod-kitchen-honolulu-3,"['Tacos', 'Pizza', 'Cocktail Bars']"
1,deck-honolulu,"['Hawaiian', 'Cocktail Bars', 'Seafood']"
2,dukes-waikiki-honolulu-2,"['Hawaiian', 'Seafood', 'Cocktail Bars']"
3,hula-grill-waikiki-honolulu-3,"['Hawaiian', 'Seafood', 'Breakfast & Brunch']"
4,basalt-honolulu,"['New American', 'Bars', 'Breakfast & Brunch']"
5,yogurstory-honolulu-4,"['Pancakes', 'Waffles', 'Hawaiian']"
6,musubi-cafe-iyasume-honolulu-24,"['Japanese', 'Hawaiian', 'Fast Food']"
7,helenas-hawaiian-food-honolulu,['Hawaiian']
8,hau-tree-honolulu-3,"['Seafood', 'Hawaiian']"
9,ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5,"['Japanese', 'Diners', 'Bars']"
10,nicos-pier-38-honolulu-2,"['Seafood', 'American', 'Bars']"
11,marugame-udon-honolulu-15,"['Japanese', 'Noodles', 'Soup']"
12,rainbow-drive-in-honolulu,"['Hawaiian', 'Fast Food', 'Breakfast & Brunch']"
13,fete-honolulu-6,"['New American', 'Cocktail Bars', 'Sandwiches']"
14,hideout-honolulu-14,"['Bars', 'Breakfast & Brunch', 'Hawaiian']"
15,aloha-kitchen-honolulu,['Breakfast & Brunch']
16,sweet-es-cafe-honolulu-4,"['Cafes', 'Breakfast & Brunch', 'Sandwiches']"
17,café-kaila-honolulu-3,"['Breakfast & Brunch', 'Cafes', 'Hawaiian']"
18,maguro-brothers-hawaii-honolulu-8,"['Japanese', 'Poke', 'Seafood']"
19,heavenly-island-lifestyle-waikiki-honolulu-5,"['Breakfast & Brunch', 'Hawaiian', 'Cocktail Bars']"
20,rice-box-cafe-mililani,"['Japanese', 'Salad', 'Chicken Shop']"
21,the-clubhouse-mililani,"['Sushi Bars', 'Bars', 'Breakfast & Brunch']"
22,rise-and-shine-cafe-mililani-3,"['Breakfast & Brunch', 'Sandwiches', 'Desserts']"
23,mililani-bar-b-q-mililani,"['Korean', 'Barbeque']"
24,604-clubhouse-wahiawa,['New American']
25,mililani-restaurant-mililani,"['Hawaiian', 'Noodles']"
26,maile-chinese-restaurant-mililani,['Chinese']
27,ba-le-sandwich-shop-mililani-2,"['Vietnamese', 'Sandwiches']"
28,rakumen-mililani,"['Japanese', 'Chinese', 'Bubble Tea']"
29,thai-village-mililani,['Thai']
30,roll-creperie-mililani,"['Creperies', 'Desserts', 'Breakfast & Brunch']"
31,tasty-jerky-hawaii-mililani-2,"['Specialty Food', 'Gluten-Free']"
32,nagoya-ramen-mililani,"['Ramen', 'Noodles', 'Bakeries']"
33,po-sing-kitchen-mililani,"['Chinese', 'Barbeque']"
34,del-icious-burgers-mililani,"['Food Trucks', 'Burgers']"
35,tasty-korean-bbq-mililani-2,['Korean']
36,saito-and-pho-restaurant-iii-mililani,"['Japanese', 'Vietnamese']"
37,ihop-mililani-2,"['Breakfast & Brunch', 'Burgers', 'American']"
38,sakura-mililani-6,"['Sushi Bars', 'Teppanyaki']"
39,assaggio-mililani-2,['Italian']
40,elenas-filipino-lunchwagon-mililani-tech-mililani-5,"['Filipino', 'Food Trucks']"
41,the-shack-mililani-mililani-7,"['Sports Bars', 'American']"
42,flyin-ahi-mililani-3,"['Food Trucks', 'Caterers', 'Seafood']"
43,gyu-kaku-japanese-bbq-mililani-3,"['Japanese', 'Barbeque', 'Asian Fusion']"
44,blazin-steaks-mililani,"['Steakhouses', 'Fast Food']"
45,steak-and-shrimp-mililani,"['Steakhouses', 'Fast Food', 'Hawaiian']"
46,surf-n-salsa-waialua,"['Mexican', 'Food Trucks']"
47,taps-and-apps-mililani,"['New American', 'Brewpubs']"
48,poke-stop-mililani,"['Hawaiian', 'Poke']"
49,scoopers-lunch-wagon-mililani,"['Food Trucks', 'American']"
50,aloha-salads-mililani-4,"['Salad', 'Wraps', 'Sandwiches']"
51,shiges-saimin-stand-wahiawa,"['Japanese', 'Noodles', 'Burgers']"
52,da-burger-wing-hub-wahiawa,"['Burgers', 'Chicken Wings', 'Sports Bars']"
53,barrio-cafe-wahiawa-2,"['Mexican', 'Caterers']"
54,banzai-bento-waipahu,['Japanese']
55,mandys-munchies-mililani,"['Food Stands', 'Custom Cakes']"
56,3-ladles-mililani,['Soup']
57,guieb-cafe-wahiawa,"['Breakfast & Brunch', 'Cafes', 'New American']"
58,ninja-sushi-mililani-mililani,"['Japanese', 'Sushi Bars', 'Seafood']"
59,pho-king-wahiawa,['Vietnamese']
60,totoya-aiea,"['Japanese', 'Seafood']"
61,sub-shack-wahiawa,['Sandwiches']
62,hi-sliders-mililani-2,"['Food Trucks', 'Burgers', 'Tacos']"
63,taqueria-el-ranchero-wahiawa,['Mexican']
64,california-pizza-kitchen-mililani-11,"['Pizza', 'New American', 'Salad']"
65,ohana-sub-wahiawā-3,"['Delis', 'Sandwiches']"
66,tanaka-ramen-and-izakya-mililani,"['Ramen', 'Izakaya']"
67,pomaikais-onolicious-mililani,"['Food Trucks', 'Filipino']"
68,sushi-man-mililani-mililani,['Sushi Bars']
69,raising-canes-mililani,"['Chicken Shop', 'Fast Food']"
70,broke-da-mouth-grindz-kapolei-kapolei-3,"['Filipino', 'Hawaiian']"
71,monkeypod-kitchen-kapolei,"['Hawaiian', 'Cocktail Bars', 'Pizza']"
72,shabuya-kapolei-2,"['Japanese', 'Hot Pot']"
73,db-grill-kapolei-3,"['New American', 'Cocktail Bars', 'Asian Fusion']"
74,mahi-ai-table-kapolei-3,"['Cocktail Bars', 'Pizza', 'Burgers']"
75,my-cafe-kapolei-2,"['Breakfast & Brunch', 'Cafes', 'Salad']"
76,ginas-kapolei-kapolei,"['Barbeque', 'Korean', 'Soup']"
77,roys-ko-olina-kapolei-5,"['Asian Fusion', 'Seafood', 'Hawaiian']"
78,moani-island-bistro-and-bar-kapolei,"['Bars', 'Hawaiian']"
79,kalapawai-cafe-and-deli-kapolei-kapolei-3,"['Cafes', 'Delis', 'Bars']"
80,curry-house-coco-ichibanya-kapolei,['Japanese Curry']
81,sushi-bay-kapolei,['Sushi Bars']
82,island-vintage-coffee-kapolei-8,"['Coffee & Tea', 'Breakfast & Brunch', 'Hawaiian']"
83,da-crawfish-and-crabshack-kapolei-2,"['Seafood', 'Cajun/Creole', 'Burgers']"
84,aunty-s-hotpot-house-kapolei,"['Hot Pot', 'Desserts', 'Taiwanese']"
85,tanaka-ramen-and-izakaya-kapolei-2,"['Ramen', 'Izakaya']"
