,name,alias,cats
0,Monkeypod Kitchen,monkeypod-kitchen-honolulu-3,"['Tacos', 'Pizza', 'Cocktail Bars']"
1,Deck.,deck-honolulu,"['Hawaiian', 'Cocktail Bars', 'Seafood']"
2,Duke's Waikiki,dukes-waikiki-honolulu-2,"['Hawaiian', 'Seafood', 'Cocktail Bars']"
3,Hula Grill Waikiki,hula-grill-waikiki-honolulu-3,"['Hawaiian', 'Seafood', 'Breakfast & Brunch']"
4,Basalt,basalt-honolulu,"['New American', 'Bars', 'Breakfast & Brunch']"
5,YogurStory,yogurstory-honolulu-4,"['Pancakes', 'Waffles', 'Hawaiian']"
6,Musubi Cafe Iyasume,musubi-cafe-iyasume-honolulu-24,"['Japanese', 'Hawaiian', 'Fast Food']"
7,Helena's Hawaiian Food,helenas-hawaiian-food-honolulu,['Hawaiian']
8,Hau Tree,hau-tree-honolulu-3,"['Seafood', 'Hawaiian']"
9,Ginza Bairin Tonkatsu & Yoshoku Bistro,ginza-bairin-tonkatsu-and-yoshoku-bistro-honolulu-5,"['Japanese', 'Diners', 'Bars']"
10,Nico's Pier 38,nicos-pier-38-honolulu-2,"['Seafood', 'American', 'Bars']"
11,Marugame Udon,marugame-udon-honolulu-15,"['Japanese', 'Noodles', 'Soup']"
12,Rainbow Drive-In,rainbow-drive-in-honolulu,"['Hawaiian', 'Fast Food', 'Breakfast & Brunch']"
13,Fete,fete-honolulu-6,"['New American', 'Cocktail Bars', 'Sandwiches']"
14,Hideout,hideout-honolulu-14,"['Bars', 'Breakfast & Brunch', 'Hawaiian']"
15,Aloha Kitchen,aloha-kitchen-honolulu,['Breakfast & Brunch']
16,Sweet E's Cafe,sweet-es-cafe-honolulu-4,"['Cafes', 'Breakfast & Brunch', 'Sandwiches']"
17,Café Kaila,café-kaila-honolulu-3,"['Breakfast & Brunch', 'Cafes', 'Hawaiian']"
18,Maguro Brothers Hawaii,maguro-brothers-hawaii-honolulu-8,"['Japanese', 'Poke', 'Seafood']"
19,Heavenly Island Lifestyle - Waikiki,heavenly-island-lifestyle-waikiki-honolulu-5,"['Breakfast & Brunch', 'Hawaiian', 'Cocktail Bars']"
